Period,Dim3,Value
2012,Acute lower respiratory infections,261791.1
2012,Congenital anomalies,276346.0
2012,Other Group 1 and Other noncommunicable (neonatal and under-5 only),335056.8
2012,Diarrhoeal diseases,46046.2
2012,Birth asphyxia and birth trauma,728076.4
2011,Tuberculosis,0.0
2011,Measles,0.0
2011,Malaria,1.2
2011,Prematurity,1116862.6
2011,Tetanus,14034.2
2011,Injuries,17306.0
2011,HIV/AIDS,1757.6
2011,Sepsis and other infectious conditions of the newborn,224969.0
2011,Meningitis/encephalitis,24077.2
2011,Acute lower respiratory infections,273442.9
2011,Congenital anomalies,273688.4
2011,Other Group 1 and Other noncommunicable (neonatal and under-5 only),342982.6
2011,Diarrhoeal diseases,48426.9
2011,Birth asphyxia and birth trauma,747246.2
2010,Tuberculosis,0.0
2010,Measles,0.0
2010,Malaria,0.0
2010,Prematurity,1138852.9
2010,Tetanus,15253.4
2010,HIV/AIDS,1880.5
2010,Injuries,18905.6
2010,Sepsis and other infectious conditions of the newborn,230428.1
2010,Meningitis/encephalitis,25120.8
2010,Congenital anomalies,271536.0
2010,Acute lower respiratory infections,285910.7
2010,Other Group 1 and Other noncommunicable (neonatal and under-5 only),354343.0
2010,Diarrhoeal diseases,50846.9
2010,Birth asphyxia and birth trauma,766630.0
2009,Tuberculosis,0.0
2009,Measles,0.0
2009,Malaria,0.0
2009,Prematurity,1161619.2
2009,Tetanus,16811.0
2009,Injuries,20226.5
2009,HIV/AIDS,2082.6
2009,Sepsis and other infectious conditions of the newborn,236906.6
2009,Meningitis/encephalitis,26243.1
2009,Congenital anomalies,270396.5
2009,Acute lower respiratory infections,298837.2
2009,Other Group 1 and Other noncommunicable (neonatal and under-5 only),362105.8
2009,Diarrhoeal diseases,53123.3
2009,Birth asphyxia and birth trauma,788057.2
2008,Tuberculosis,0.0
2008,Measles,0.0
2008,Malaria,1.6
2008,Prematurity,1182134.1
2008,Tetanus,18925.2
2008,Injuries,21840.6
2008,HIV/AIDS,2350.1
2008,Sepsis and other infectious conditions of the newborn,243197.7
2008,Meningitis/encephalitis,26955.1
2008,Congenital anomalies,270062.4
2008,Acute lower respiratory infections,311130.6
2008,Other Group 1 and Other noncommunicable (neonatal and under-5 only),367320.5
2008,Diarrhoeal diseases,55663.8
2008,Birth asphyxia and birth trauma,806907.4
2007,Tuberculosis,0.0
2007,Measles,0.0
2007,Malaria,1.4
2007,Prematurity,1203771.7
2007,Tetanus,21438.7
2007,Injuries,22205.2
2007,Sepsis and other infectious conditions of the newborn,249644.2
2007,HIV/AIDS,2577.7
2007,Congenital anomalies,268510.2
2007,Meningitis/encephalitis,27893.8
2007,Acute lower respiratory infections,324676.2
2007,Other Group 1 and Other noncommunicable (neonatal and under-5 only),377822.7
2007,Diarrhoeal diseases,57928.1
2007,Birth asphyxia and birth trauma,822824.9
2006,Tuberculosis,0.0
2006,Measles,0.0
2006,Prematurity,1221492.9
2006,Tetanus,24019.3
2006,Injuries,25136.9
2006,Sepsis and other infectious conditions of the newborn,255196.5
2006,Congenital anomalies,269121.3
2006,HIV/AIDS,2778.6
2006,Meningitis/encephalitis,28633.5
2006,Acute lower respiratory infections,337953.0
2006,Other Group 1 and Other noncommunicable (neonatal and under-5 only),384186.0
2006,Malaria,6.9
2006,Diarrhoeal diseases,60256.0
2006,Birth asphyxia and birth trauma,841057.0
2005,Tuberculosis,0.0
2005,Measles,0.0
2005,Malaria,1.9
2005,Prematurity,1245896.2
2005,Sepsis and other infectious conditions of the newborn,263769.1
2005,Injuries,26710.2
2005,Congenital anomalies,269931.7
2005,Tetanus,27364.4
2005,Meningitis/encephalitis,29346.2
2005,HIV/AIDS,2950.7
2005,Acute lower respiratory infections,353831.6
2005,Other Group 1 and Other noncommunicable (neonatal and under-5 only),395193.4
2005,Diarrhoeal diseases,63510.0
2005,Birth asphyxia and birth trauma,863489.6
2004,Tuberculosis,0.0
2004,Measles,0.0
2004,Prematurity,1275077.1
2004,Congenital anomalies,271629.3
2004,Sepsis and other infectious conditions of the newborn,272415.8
2004,Injuries,30560.9
2004,Tetanus,30755.9
2004,Meningitis/encephalitis,30777.0
2004,HIV/AIDS,3106.4
2004,Acute lower respiratory infections,369863.7
2004,Other Group 1 and Other noncommunicable (neonatal and under-5 only),405843.1
2004,Malaria,5.0
2004,Diarrhoeal diseases,66405.4
2004,Birth asphyxia and birth trauma,892433.5
2003,Tuberculosis,0.0
2003,Measles,0.0
2003,Prematurity,1306607.9
2003,Congenital anomalies,273184.7
2003,Sepsis and other infectious conditions of the newborn,279049.0
2003,Injuries,31825.8
2003,Meningitis/encephalitis,31913.7
2003,HIV/AIDS,3242.7
2003,Tetanus,34193.5
2003,Acute lower respiratory infections,384469.3
2003,Other Group 1 and Other noncommunicable (neonatal and under-5 only),418753.2
2003,Malaria,6.6
2003,Diarrhoeal diseases,69099.8
2003,Birth asphyxia and birth trauma,919004.8
2002,Tuberculosis,0.0
2002,Measles,0.0
2002,Prematurity,1344318.1
2002,Congenital anomalies,277308.9
2002,Sepsis and other infectious conditions of the newborn,285913.7
2002,Malaria,3.6
2002,Meningitis/encephalitis,32866.6
2002,HIV/AIDS,3375.6
2002,Injuries,34703.2
2002,Tetanus,37989.6
2002,Acute lower respiratory infections,400335.3
2002,Other Group 1 and Other noncommunicable (neonatal and under-5 only),429696.9
2002,Diarrhoeal diseases,72190.2
2002,Birth asphyxia and birth trauma,949184.3
2001,Tuberculosis,0.0
2001,Measles,0.0
2001,Prematurity,1382798.3
2001,Congenital anomalies,280389.6
2001,Sepsis and other infectious conditions of the newborn,293861.9
2001,Malaria,3.1
2001,Meningitis/encephalitis,34183.5
2001,HIV/AIDS,3463.6
2001,Injuries,38069.8
2001,Acute lower respiratory infections,416880.0
2001,Tetanus,42312.7
2001,Other Group 1 and Other noncommunicable (neonatal and under-5 only),440657.7
2001,Diarrhoeal diseases,74917.1
2001,Birth asphyxia and birth trauma,976280.8
2000,Tuberculosis,0.0
2000,Measles,0.0
2000,Malaria,1.8
2000,Birth asphyxia and birth trauma,1002297.3
2000,Prematurity,1417411.1
2000,Congenital anomalies,282454.4
2000,Sepsis and other infectious conditions of the newborn,299435.6
2000,Meningitis/encephalitis,35062.9
2000,HIV/AIDS,3526.5
2000,Acute lower respiratory infections,434064.3
2000,Injuries,43415.5
2000,Other Group 1 and Other noncommunicable (neonatal and under-5 only),449037.2
2000,Tetanus,46898.4
2000,Diarrhoeal diseases,78143.0
