location,cause,year,val
China,Cardiovascular diseases,1990,204.78390552164967
Eritrea,STD,1990,20.474407940612696
Eritrea,Respiratory infections,1990,311.69236291718846
Eritrea,Enteric infections,1990,249.86823292711887
Eritrea,Other infectious diseases,1990,157.13121508232183
Eritrea,Postpartum disorders,1990,119.44346594868092
Eritrea,Diabetes,1990,20.35062937692972
Mali,Other non-communicable diseases,1990,72.84456545995535
Brunei Darussalam,Transport injuries,1990,31.605887348733365
Brunei Darussalam,Diabetes,1990,47.06434787983523
Jamaica,Neurological disorders,1990,21.038011064460445
Bhutan,Respiratory infections,1990,129.03298375605462
Bhutan,Enteric infections,1990,71.86079143682367
Bhutan,Other infectious diseases,1990,96.31966499679648
Bhutan,Postpartum disorders,1990,165.65874815672217
China,Respiratory infections,1990,62.23032866406727
China,Postpartum disorders,1990,25.62239116725347
Poland,Unintentional injuries,1990,31.46665258988614
Republic of Korea,Cardiovascular diseases,1990,193.82882193545592
Mali,Enteric infections,1990,297.0516673572941
Mali,Other infectious diseases,1990,267.2761653044085
Mali,Postpartum disorders,1990,279.2605589026996
Mali,Diabetes,1990,30.694418642348214
Democratic People's Republic of Korea,Neoplasms,1990,112.80601900518178
Viet Nam,Other infectious diseases,1990,28.58652736480555
Viet Nam,Postpartum disorders,1990,41.58954162561019
Ireland,Cardiovascular diseases,1990,386.6662787735096
Timor-Leste,Nutritional deficiencies,1990,67.16210070334601
Mauritania,Neoplasms,1990,55.70648962390411
Kazakhstan,Respiratory infections,1990,50.67935366925354
Kazakhstan,Postpartum disorders,1990,20.98584782428494
Namibia,STD,1990,25.183847208470493
Namibia,Respiratory infections,1990,150.9742808259038
Namibia,Enteric infections,1990,74.37256104759861
Namibia,Other infectious diseases,1990,46.7899645920834
Namibia,Postpartum disorders,1990,82.37689614599009
Ethiopia,Neoplasms,1990,55.59271768319965
Democratic People's Republic of Korea,Other non-communicable diseases,1990,30.75190539970147
Nicaragua,Digestive diseases,1990,21.835465194541303
Azerbaijan,Respiratory infections,1990,130.61039049862413
Azerbaijan,Enteric infections,1990,21.93008394498821
India,Nutritional deficiencies,1990,31.349689148259003
Poland,Neoplasms,1990,218.77959119271733
Democratic People's Republic of Korea,Respiratory infections,1990,77.49124424540275
Democratic People's Republic of Korea,Other infectious diseases,1990,28.469219340821297
Democratic People's Republic of Korea,Postpartum disorders,1990,69.36547371874025
Brunei Darussalam,Respiratory infections,1990,22.825845534956347
Namibia,Diabetes,1990,40.62052829696757
India,Neoplasms,1990,44.026834535039896
Cook Islands,Cardiovascular diseases,1990,222.48253298460807
Taiwan (Province of China),Chronic respiratory diseases,1990,25.24822284922273
Taiwan (Province of China),Digestive diseases,1990,41.39687540913029
American Samoa,Unintentional injuries,1990,25.43185941295476
Ireland,Diabetes,1990,23.58355379547504
Republic of Korea,Respiratory infections,1990,27.59330236632269
Taiwan (Province of China),Unintentional injuries,1990,31.052362196712217
Morocco,Transport injuries,1990,37.476057236729126
Greece,Respiratory infections,1990,20.87608552547054
Greece,Diabetes,1990,39.481214408346034
Timor-Leste,Digestive diseases,1990,28.764383496818997
Saint Lucia,Cardiovascular diseases,1990,229.90604083613812
Canada,Neoplasms,1990,197.85334277183676
South Africa,Neoplasms,1990,75.27647835757024
Kyrgyzstan,Neoplasms,1990,92.16754286033856
Timor-Leste,Other non-communicable diseases,1990,39.984507978205286
Timor-Leste,Respiratory infections,1990,232.40902465420777
Timor-Leste,Enteric infections,1990,76.89657906595097
South Sudan,Nutritional deficiencies,1990,139.70158987189214
South Sudan,Digestive diseases,1990,33.59258417295185
Mexico,Cardiovascular diseases,1990,84.6281195447983
Hungary,Cardiovascular diseases,1991,687.0626193314212
Kuwait,Homicides & suicides,1990,70.51388605314852
India,Homicides & suicides,1990,23.48064656881645
China,Neoplasms,1990,123.25135094908912
Romania,Cardiovascular diseases,1990,583.5373886712076
Philippines,Respiratory infections,1991,106.03430022521846
Philippines,Enteric infections,1991,36.94835006689743
Philippines,Other infectious diseases,1991,33.41051366763302
Philippines,Postpartum disorders,1991,49.43301798731801
Panama,Cardiovascular diseases,1990,124.22840758665828
Israel,Neoplasms,1990,142.73968123427392
Armenia,Neoplasms,1991,124.952140730624
Ethiopia,Homicides & suicides,1990,119.26094074519004
Lebanon,Chronic respiratory diseases,1990,21.213005597734707
Tuvalu,Transport injuries,1990,33.128757820832384
Tuvalu,Unintentional injuries,1990,33.77029009385299
Eritrea,Nutritional deficiencies,1990,152.0589765751625
Cook Islands,Transport injuries,1990,34.962562938484965
Kyrgyzstan,Homicides & suicides,1990,26.28133352277095
Hungary,Diabetes,1991,24.974364643359365
Saint Lucia,Chronic respiratory diseases,1990,21.60813910581265
Canada,Respiratory infections,1990,24.939667163296683
Fiji,Chronic respiratory diseases,1990,52.61951767204089
Kenya,Tropical diseases,1990,55.47352589505992
France,Cardiovascular diseases,1991,292.45428886894786
Niger,Nutritional deficiencies,1990,66.19495870440451
Niger,Digestive diseases,1990,38.04281581723146
Lesotho,Neoplasms,1990,59.17103056304433
Panama,Transport injuries,1990,21.503875611681806
Timor-Leste,Other infectious diseases,1990,101.53279190530272
Timor-Leste,Postpartum disorders,1990,138.22454298834245
Timor-Leste,Diabetes,1990,20.545225982282187
Chile,Chronic respiratory diseases,1990,20.93822755941933
Viet Nam,Neoplasms,1990,65.9852302087043
Poland,Respiratory infections,1990,23.63699426537893
Cook Islands,Diabetes,1990,90.45186088956947
Romania,Respiratory infections,1990,47.79821659231701
Morocco,Unintentional injuries,1990,27.611465839574844
Taiwan (Province of China),Neoplasms,1990,101.14963650007532
Cambodia,Neoplasms,1990,59.914063349332885
Niger,Unintentional injuries,1990,43.26292705288776
North Macedonia,Neoplasms,1991,144.64867282120858
Saint Lucia,Diabetes,1990,72.23406914169716
Japan,Respiratory infections,1990,54.67434413964918
Nepal,Chronic respiratory diseases,1990,100.37281398160526
Zambia,STD,1991,229.33458744454435
Zambia,Respiratory infections,1991,282.1912899435811
Zambia,Enteric infections,1991,168.27979591917554
Zambia,Other infectious diseases,1991,140.4278841034537
Zambia,Postpartum disorders,1991,117.9730750474898
Zambia,Diabetes,1991,27.17691963709637
Burundi,Nutritional deficiencies,1991,71.8416477069866
Eswatini,Chronic respiratory diseases,1990,31.13267822206312
Kazakhstan,Digestive diseases,1990,27.100840425188228
Panama,Unintentional injuries,1990,23.05961443825217
Haiti,Chronic respiratory diseases,1990,38.07623894197776
Eritrea,Digestive diseases,1990,32.505290959257735
Liberia,STD,1990,24.38355994084773
Liberia,Respiratory infections,1990,299.84681462242975
Liberia,Enteric infections,1990,241.7603757504628
Liberia,Other infectious diseases,1990,231.2545029362416
Mali,Nutritional deficiencies,1990,87.98478714637362
Bhutan,Digestive diseases,1990,34.85893004508883
Bhutan,Unintentional injuries,1990,32.39924490049837
Iceland,Respiratory infections,1990,41.4048533534107
Indonesia,Digestive diseases,1990,45.570894951527045
Mexico,Digestive diseases,1990,42.45329810077571
Mexico,Unintentional injuries,1990,28.22454296970867
Kazakhstan,Homicides & suicides,1990,33.55306170477089
Lesotho,STD,1990,36.67592310839235
Lesotho,Respiratory infections,1990,186.92485191886576
Lesotho,Enteric infections,1990,130.29263633818218
Fiji,Cardiovascular diseases,1990,216.68326197494216
Chile,Unintentional injuries,1990,29.01587202544868
Bermuda,STD,1990,25.30687121376068
Bermuda,Respiratory infections,1990,21.19787468077268
Fiji,Respiratory infections,1990,33.458870530651744
Fiji,Postpartum disorders,1990,29.805096787784592
Fiji,Diabetes,1990,84.90569333158061
Namibia,Nutritional deficiencies,1990,24.528009863983325
Mali,Digestive diseases,1990,47.879777434571295
Guinea-Bissau,STD,1990,28.22183993422072
Guinea-Bissau,Respiratory infections,1990,260.93392193693967
Guinea-Bissau,Enteric infections,1990,219.24956656262552
Guinea-Bissau,Other infectious diseases,1990,268.9580843048468
Guinea-Bissau,Postpartum disorders,1990,207.1923451965611
Liberia,Nutritional deficiencies,1990,61.873876188364406
Chile,Cardiovascular diseases,1990,167.66947505342046
Republic of Korea,Digestive diseases,1990,47.742596870431
Romania,Digestive diseases,1990,53.83830230169977
Viet Nam,Digestive diseases,1990,35.06978704474888
Nicaragua,Cardiovascular diseases,1990,71.51854041995175
Democratic People's Republic of Korea,Digestive diseases,1990,30.390247068628582
Bangladesh,Digestive diseases,1990,43.60678414528056
Kenya,Digestive diseases,1990,37.74129001388263
Lao People's Democratic Republic,Cardiovascular diseases,1990,181.29384571896728
Georgia,Cardiovascular diseases,1990,646.7660269359196
Kiribati,Neoplasms,1990,101.63676995438948
Lao People's Democratic Republic,Other non-communicable diseases,1990,55.74323147464703
Namibia,Digestive diseases,1990,33.33375074994218
Georgia,Digestive diseases,1990,40.13615721194018
Georgia,Neurological disorders,1990,22.512880548844755
Eritrea,Homicides & suicides,1990,360.55347803398615
Viet Nam,Unintentional injuries,1990,37.80321936980109
United States Virgin Islands,Postpartum disorders,1990,20.688979911169312
United States Virgin Islands,Diabetes,1990,47.03286430219611
Lao People's Democratic Republic,Transport injuries,1990,30.39500574857324
Lao People's Democratic Republic,Diabetes,1990,47.377420534984864
Philippines,Digestive diseases,1991,28.587472778354325
Philippines,Unintentional injuries,1991,31.746797113533283
Romania,Neurological disorders,1990,24.15257793491406
Haiti,Unintentional injuries,1990,82.02456854783118
Nicaragua,Other non-communicable diseases,1990,21.61345542532688
Malaysia,Neoplasms,1990,63.1917386577147
India,Cardiovascular diseases,1990,140.46228768246604
Mali,Homicides & suicides,1990,22.43035654792185
Georgia,Respiratory infections,1990,43.50375682788945
Georgia,Postpartum disorders,1990,28.52118328715177
Poland,Cardiovascular diseases,1990,513.6861639630082
Kyrgyzstan,Cardiovascular diseases,1990,287.5827132054342
Nicaragua,Respiratory infections,1990,58.40703354776795
Nicaragua,Enteric infections,1990,62.21326006634893
Nicaragua,Postpartum disorders,1990,68.62303815045095
Democratic People's Republic of Korea,Unintentional injuries,1990,37.613527450298015
Hungary,Digestive diseases,1991,91.51608624875196
Hungary,Neurological disorders,1991,34.331889525963085
Namibia,Homicides & suicides,1990,26.276710021017504
Singapore,Neoplasms,1990,111.33627256516282
Tuvalu,Other non-communicable diseases,1990,30.72204529716488
Marshall Islands,Digestive diseases,1990,30.08333980646855
Kazakhstan,Neoplasms,1990,139.879860112374
Djibouti,Nutritional deficiencies,1990,76.00631123101122
Djibouti,Digestive diseases,1990,23.76669806914929
Uruguay,Respiratory infections,1990,31.61341477597254
El Salvador,Cardiovascular diseases,1991,117.6269894477799
Marshall Islands,Unintentional injuries,1990,26.083603809199616
Poland,Diabetes,1990,27.694326592613493
Haiti,Cardiovascular diseases,1990,259.6244375229901
Malaysia,Respiratory infections,1990,40.7170053560449
Iceland,Neoplasms,1990,172.6607376769652
Mexico,Other non-communicable diseases,1990,23.23212494631025
Romania,Neoplasms,1990,150.19988545280984
American Samoa,Respiratory infections,1990,22.44028945065737
American Samoa,Postpartum disorders,1990,25.92688708011478
Ireland,Neurological disorders,1990,30.172813758215995
Micronesia (Federated States of),Cardiovascular diseases,1990,235.0220835834124
Cook Islands,Neoplasms,1990,99.73761072132436
Greenland,Neoplasms,1990,175.1760336445398
Liberia,Neoplasms,1990,59.22134266013962
Lesotho,Nutritional deficiencies,1990,22.370470672089912
Poland,Digestive diseases,1990,37.912970831772405
Libya,Cardiovascular diseases,1990,138.9438676696737
United Kingdom,Respiratory infections,1991,68.7575824742627
India,Other non-communicable diseases,1990,22.232723246083665
Micronesia (Federated States of),Transport injuries,1990,25.79454731338871
Micronesia (Federated States of),Postpartum disorders,1990,50.5173233607054
Sri Lanka,Cardiovascular diseases,1991,165.46143550833207
Dominican Republic,Other non-communicable diseases,1991,24.761431207131253
Ethiopia,Cardiovascular diseases,1990,118.0407005962758
China,Digestive diseases,1990,27.26625078294592
Finland,Respiratory infections,1991,54.87206403240598
Micronesia (Federated States of),Diabetes,1990,62.15427639354702
Armenia,Cardiovascular diseases,1991,333.15829726046377
Myanmar,Cardiovascular diseases,1990,235.46583673475632
Myanmar,Chronic respiratory diseases,1990,91.60731728481156
Lebanon,Cardiovascular diseases,1990,269.4988248142473
Jamaica,Cardiovascular diseases,1990,202.28405541278372
Papua New Guinea,Neoplasms,1990,48.62956157886909
Serbia,Digestive diseases,1990,36.56089673454047
El Salvador,Other non-communicable diseases,1991,25.973731359053648
El Salvador,Respiratory infections,1991,43.41027679854139
El Salvador,Enteric infections,1991,46.0271692867569
Myanmar,Transport injuries,1990,32.60862007184483
Serbia,Cardiovascular diseases,1990,563.6001887568162
Serbia,Chronic respiratory diseases,1990,36.129007362532654
Dominican Republic,Respiratory infections,1991,43.57805713879196
Dominican Republic,Enteric infections,1991,41.89875403649754
Dominican Republic,Postpartum disorders,1991,74.56111463059963
Burundi,Cardiovascular diseases,1991,158.61236102912517
Hungary,Homicides & suicides,1991,43.16428591588753
Myanmar,Unintentional injuries,1990,59.92190491609201
Kyrgyzstan,Chronic respiratory diseases,1990,59.56076760367081
Ethiopia,Chronic respiratory diseases,1990,26.267357831593497
Kyrgyzstan,Transport injuries,1990,23.748744401680664
Nicaragua,Diabetes,1990,26.82802695283979
Libya,Other non-communicable diseases,1990,37.71439042783596
India,Postpartum disorders,1990,112.07925397955822
Serbia,Homicides & suicides,1990,28.365080357872262
Tuvalu,Respiratory infections,1990,134.44238720496682
Tuvalu,Enteric infections,1990,34.8322703048263
Tuvalu,Other infectious diseases,1990,35.17581754036442
Tuvalu,Postpartum disorders,1990,82.30094155210317
Tuvalu,Diabetes,1990,89.06568429691417
Singapore,Chronic respiratory diseases,1990,31.45374828573774
Iraq,Cardiovascular diseases,1991,204.82771461158745
Burundi,Chronic respiratory diseases,1991,40.50368922924243
Burundi,Other non-communicable diseases,1991,47.95135210771899
France,Neurological disorders,1991,47.44373244095395
Fiji,Neoplasms,1990,54.67228720561525
Kyrgyzstan,Digestive diseases,1990,30.920497631964377
Kyrgyzstan,Unintentional injuries,1990,38.04058455193361
Afghanistan,Neoplasms,1991,93.71426916831464
Mongolia,Neoplasms,1990,135.5894366219972
Slovakia,Cardiovascular diseases,1990,547.5638179025294
Panama,Neoplasms,1990,67.70647264107775
Samoa,Digestive diseases,1990,28.988517412147807
Slovakia,Transport injuries,1990,22.13874751564487
Philippines,Respiratory infections,1990,112.16873630035396
Taiwan (Province of China),Cardiovascular diseases,1990,152.97893318794465
El Salvador,Postpartum disorders,1991,57.18010752763188
El Salvador,Diabetes,1991,23.46515979111718
South Africa,Cardiovascular diseases,1990,115.89248139220834
Timor-Leste,Homicides & suicides,1990,37.19079349528526
Slovakia,Diabetes,1990,29.0239424370843
Philippines,Enteric infections,1990,39.23832058751956
Philippines,Other infectious diseases,1990,36.21068232039422
Philippines,Postpartum disorders,1990,51.10814706010833
Samoa,Homicides & suicides,1990,20.548965796155557
Slovenia,Neoplasms,1990,209.9848056541612
Libya,Postpartum disorders,1990,68.56585635956158
France,Homicides & suicides,1991,27.49738282714205
Mauritania,Chronic respiratory diseases,1990,25.46114452438515
Mauritania,Transport injuries,1990,44.12848243927607
Serbia,Diabetes,1990,38.69072302381907
Eswatini,Digestive diseases,1990,25.181417500287083
Eswatini,Unintentional injuries,1990,27.73042505903928
India,Diabetes,1990,20.077914066608027
Ethiopia,Transport injuries,1990,23.440610310410133
Ethiopia,Diabetes,1990,36.510009149984114
Jamaica,Respiratory infections,1990,21.18302215328736
Mongolia,Cardiovascular diseases,1990,276.2987194547578
Greenland,Chronic respiratory diseases,1990,42.787622574341455
Solomon Islands,Tropical diseases,1990,33.48104169795127
Solomon Islands,Cardiovascular diseases,1990,294.97637120457995
Burundi,Transport injuries,1991,25.934155816351097
Burundi,Diabetes,1991,32.68494497455416
Guatemala,Neoplasms,1991,52.50819351104936
North Macedonia,Cardiovascular diseases,1991,462.4014037770206
Iraq,Other non-communicable diseases,1991,42.952955107373086
Grenada,Neoplasms,1991,152.01840263841856
Grenada,Neurological disorders,1991,28.48802568951057
South Africa,Chronic respiratory diseases,1990,33.22354055567845
Solomon Islands,Chronic respiratory diseases,1990,54.8711405735675
Serbia,Neoplasms,1990,201.22194542899567
Mongolia,Other non-communicable diseases,1990,23.513918186935125
Sri Lanka,Homicides & suicides,1990,83.08263287735097
Slovenia,Respiratory infections,1990,29.234990525076235
Grenada,Cardiovascular diseases,1991,378.7717767309122
Solomon Islands,Transport injuries,1990,26.61719176381663
American Samoa,Diabetes,1990,50.50057852064566
El Salvador,Homicides & suicides,1991,80.261277160769
Mexico,Transport injuries,1990,25.010783785455743
Mexico,Postpartum disorders,1990,45.99866773100177
Argentina,Neoplasms,1991,170.38572717143614
Mongolia,Other infectious diseases,1990,33.70152060674181
Mongolia,Postpartum disorders,1990,71.79185986551312
Mongolia,Diabetes,1990,20.89800007948192
Solomon Islands,Diabetes,1990,53.24636062944445
Japan,Neoplasms,1990,192.92430201663709
Japan,Neurological disorders,1990,28.910726178838534
Burundi,Neoplasms,1991,63.970168733645565
Iceland,Neurological disorders,1990,37.47301488278794
Azerbaijan,Chronic respiratory diseases,1991,27.361088374858667
Azerbaijan,Digestive diseases,1991,33.24155558223136
Thailand,Chronic respiratory diseases,1990,35.82229231668999
Nepal,Unintentional injuries,1990,43.62265350832917
Fiji,Unintentional injuries,1990,22.500588693150345
Kazakhstan,Cardiovascular diseases,1990,343.7609126151036
Haiti,Other non-communicable diseases,1990,70.32604335920378
Haiti,Respiratory infections,1990,168.65188884214334
Poland,Neurological disorders,1990,31.30294203785669
Sri Lanka,Homicides & suicides,1991,87.65137407752576
Mongolia,Chronic respiratory diseases,1990,24.439904471259084
Lebanon,Other non-communicable diseases,1990,30.179047947072416
San Marino,Cardiovascular diseases,1991,242.3600968549708
Nigeria,Cardiovascular diseases,1990,130.90256098167492
Saint Vincent and the Grenadines,Respiratory infections,1990,31.618015923861226
Nepal,Neoplasms,1990,48.56400833781893
Djibouti,Homicides & suicides,1990,22.72993419033688
Grenada,Chronic respiratory diseases,1991,20.12412795768264
Thailand,Transport injuries,1990,40.7918676583657
Tajikistan,Neoplasms,1990,67.52712154746847
France,Diabetes,1991,24.91890057888408
Chile,Respiratory infections,1990,55.76173600333067
Serbia,Neurological disorders,1990,27.576023741914277
Botswana,Chronic respiratory diseases,1991,35.66061801318158
Palestine,Other non-communicable diseases,1990,47.84272993073106
Guatemala,Cardiovascular diseases,1991,96.00895389232151
Italy,Digestive diseases,1990,51.97022981953
Argentina,Chronic respiratory diseases,1991,30.458228383974298
Viet Nam,Cardiovascular diseases,1990,182.80264885546052
Viet Nam,Chronic respiratory diseases,1990,38.38331118607614
Nigeria,Other non-communicable diseases,1990,50.1240117592443
Suriname,Digestive diseases,1990,37.73310832514753
Azerbaijan,Unintentional injuries,1991,28.497407516844675
Zimbabwe,Cardiovascular diseases,1990,88.01653672379042
Thailand,Unintentional injuries,1990,27.00201465802746
Botswana,Digestive diseases,1991,34.81141626654577
Botswana,Unintentional injuries,1991,26.40619138550329
United States of America,Digestive diseases,1990,30.875124736437687
United States of America,Neurological disorders,1990,38.42358729040069
Ghana,Other non-communicable diseases,1991,30.984515337964783
Ghana,Respiratory infections,1991,142.39939901631058
Ghana,Enteric infections,1991,171.65913505963417
Italy,Neurological disorders,1990,37.57144504903182
Germany,Neoplasms,1991,253.4642384520132
Madagascar,Cardiovascular diseases,1990,162.70050677258615
Greenland,Transport injuries,1990,22.53640375918233
Greenland,Unintentional injuries,1990,48.90383881889774
Sri Lanka,Postpartum disorders,1991,24.82440266377655
Sri Lanka,Diabetes,1991,28.395541965654324
Belarus,Cardiovascular diseases,1990,570.0029239231282
Afghanistan,Chronic respiratory diseases,1991,48.06480989130613
Morocco,Neoplasms,1990,43.75978892050017
Kiribati,Cardiovascular diseases,1990,313.8506142069467
Mauritania,Unintentional injuries,1990,23.131031046084487
Mongolia,Digestive diseases,1990,65.37002507518186
Mongolia,Unintentional injuries,1990,44.736534622345154
Ghana,Other infectious diseases,1991,80.60911921732568
Ghana,Postpartum disorders,1991,105.8426781463771
Ghana,Diabetes,1991,22.38709543753921
Bhutan,Tropical diseases,1990,123.26091957833
Bhutan,Cardiovascular diseases,1990,94.23612955617035
Palestine,Respiratory infections,1990,25.680126108493745
Palestine,Other infectious diseases,1990,31.645524984421183
Palestine,Postpartum disorders,1990,90.81003559204224
Palestine,Diabetes,1990,39.80489929949473
Tonga,Respiratory infections,1990,39.827227622672105
Tonga,Other infectious diseases,1990,27.93624212359063
Tonga,Postpartum disorders,1990,29.134337693498924
Belarus,Chronic respiratory diseases,1990,63.49405772574148
Israel,Chronic respiratory diseases,1990,26.75463825790331
United States of America,Homicides & suicides,1990,23.672433326413792
Guatemala,Chronic respiratory diseases,1991,20.92247047025317
United States Virgin Islands,Neoplasms,1990,119.6264536440024
Azerbaijan,Neoplasms,1991,95.67513848277812
South Africa,Transport injuries,1990,53.49501555733063
South Africa,Unintentional injuries,1990,29.505053020593547
Belarus,Transport injuries,1990,24.05246093675252
North Macedonia,Chronic respiratory diseases,1991,32.80281808272677
Kazakhstan,Chronic respiratory diseases,1990,42.18727814789887
Argentina,Respiratory infections,1991,31.74665045277764
Kiribati,Other non-communicable diseases,1990,32.426389637747626
Kiribati,Respiratory infections,1990,149.55370528449657
Kiribati,Enteric infections,1990,109.44354779350226
China,Homicides & suicides,1990,21.86264898960667
Nigeria,Diabetes,1990,26.467469692372447
Kiribati,Nutritional deficiencies,1990,34.23210059590552
Vanuatu,Digestive diseases,1990,32.20816719296616
Cambodia,Cardiovascular diseases,1990,134.00390155227103
Belarus,Unintentional injuries,1990,43.62729122894834
Venezuela (Bolivarian Republic of),Respiratory infections,1990,27.45000525126761
Venezuela (Bolivarian Republic of),Postpartum disorders,1990,40.04385158420758
Thailand,Chronic respiratory diseases,1991,36.8825657014317
Kenya,STD,1990,100.23083750827767
Madagascar,Other non-communicable diseases,1990,38.71074273353428
Madagascar,Respiratory infections,1990,251.2602858859556
Pakistan,Cardiovascular diseases,1990,152.89842553105328
Guinea,Tropical diseases,1991,152.10065344158127
Jamaica,Postpartum disorders,1990,35.052347794734466
Jamaica,Diabetes,1990,67.3001503409558
San Marino,Neoplasms,1991,264.327245819716
San Marino,Neurological disorders,1991,33.729119425037545
Slovakia,Respiratory infections,1990,55.12781341232944
Japan,Cardiovascular diseases,1990,224.7413518653821
Thailand,Neoplasms,1991,89.58829648576572
Comoros,Neoplasms,1991,56.14496647392634
Grenada,Diabetes,1991,91.30352828216932
Kenya,Respiratory infections,1990,139.60407531595618
Kenya,Enteric infections,1990,102.98602269899467
Madagascar,Nutritional deficiencies,1990,103.0116787404185
Canada,Chronic respiratory diseases,1990,34.19049262491555
Iraq,Other infectious diseases,1991,28.23921030378536
Iraq,Postpartum disorders,1991,101.0637002326189
Iraq,Diabetes,1991,39.4355661064808
Slovakia,Digestive diseases,1990,50.6257752547253
Georgia,Cardiovascular diseases,1991,668.1520425908451
South Sudan,Cardiovascular diseases,1990,104.92903054973016
Cambodia,Other non-communicable diseases,1990,42.68257567785969
Kiribati,Digestive diseases,1990,61.48820458410049
Guinea,Chronic respiratory diseases,1991,34.649170879702154
Taiwan (Province of China),Transport injuries,1990,38.977586977222245
Taiwan (Province of China),Diabetes,1990,40.61065662682038
Suriname,Homicides & suicides,1990,30.634457848775845
Madagascar,Digestive diseases,1990,35.32233266745971
Tokelau,Neoplasms,1991,102.8434813100105
Chile,Diabetes,1990,21.64936691344925
Kiribati,Other infectious diseases,1990,66.20517395451712
Kiribati,Postpartum disorders,1990,105.09232121860292
Kiribati,Diabetes,1990,96.86694863695443
Bangladesh,Nutritional deficiencies,1991,53.19284701618284
Saint Lucia,Neoplasms,1990,106.8491212912529
Madagascar,Enteric infections,1990,188.32995694853355
Madagascar,Other infectious diseases,1990,114.19691473799598
Madagascar,Postpartum disorders,1990,115.24556697925082
Madagascar,Diabetes,1990,22.80409263278893
Lesotho,Cardiovascular diseases,1991,139.3677738325449
Japan,Homicides & suicides,1990,20.148703639819345
Thailand,Transport injuries,1991,42.75900144172044
Turkmenistan,Digestive diseases,1990,29.98890256242128
Slovakia,Unintentional injuries,1990,33.89864065939374
Luxembourg,Cardiovascular diseases,1990,442.0715692688602
Guam,Cardiovascular diseases,1990,157.56651268019178
Haiti,Enteric infections,1990,155.57137739641726
Haiti,Other infectious diseases,1990,71.2444934030407
Haiti,Postpartum disorders,1990,89.64840990791697
Haiti,Diabetes,1990,60.04435215693344
